,comment,like,time,title_list
0,"세바시 HR 특집 강연회3 참여신청  https://bit.ly/sebasiHR3[책이벤트] 박재연 소장의 세바시 강연 소감을 댓글로 남겨주시면, 10분을 추첨해  세바시 강연자가 직접 싸인한 책을 선물로 보내드립니다 (기간 : 11월 21일-27일 / 당첨발표 :11월 28일)오타수정) 0:12 희안하게 ► 희한하게 입니다!",19,3 days ago (edited),[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
24,"강의를 하실 때, 구체적 사례를 설명해주셔서 궁극적으로 말하고자 하는 바가 명확하게 전달되었습니다.늘 배우고 노력해서 제 인생과 주변 인생을 모두 행복하게 만들도록 하겠습니다~""건강한 혼잣말"" 쉽고 재미있게 알려주셔서 감사합니다",3,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
25,머리에 형광등이 켜지듯 깨우침을 주시는 귀한 말씀이 참 공감가네요~그동안 부족한 사고와  대화기술로 다른사람을 힘들게 한 시간들이 참 미안한 마음이  드네요~말속에 숨겨진 그사람의 의도를 파악하기 위해 먼저 제자신이 정신적으로 건강해야함을 깨닫고 내 요구를 먼저 말하기보다 나자신의 마음과 생각을 다스리는 노력을 해야겠다는 생각이 듭니다긍정적 스트레스로 몰입도를 높이고 즐겁게 일할수 있을것같아 희망적인 생각이 듭니다생각을 바꾸는것만으로도 일하는것에 힘이나네요~감사합니다~^^,0,28 minutes ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
26,나와 너의 균형을 만드는 대화법을 통해 더 나은 미래를설계할 수 있다니 매우 꿈만 같네요 대화는 같이 하는 것인데 왜 혼잣말을 잘해야 한다고 하는 것인지엄청 궁금했는데 서서히 알게 되니 폭풍감동입니다 ㅠ.ㅠ,2,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
27,직장에서 뿐만 아니라 우선적으로 가정안에서 건강한 대화와 관계를 만들기 위해 박재연 소장님 책과 강연을 통해 열심히 배우고 훈련하는 중입니다 건강한 혼잣말이 타인과도 건강한 관계를 만들어낼 수 있는 첫단추라 하시니 또 열심히 연습해봐야 겠네요~~ 좋은강연 너무 감사합니다,19,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
28,좋은 대화하시는데 도움되면 좋겠어요~,0,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
29,"외국인으로써 한국에 자리잡고 첫직장을 3개월동안 다녔는데 사수가 딱 얘기하신 그런 분이셨습니다. 마지막에 말씀하신 것 처럼 보내야 할때가 생기 더라고요, 근데 맘이 진짜 편치 않아요. 제가 그래도 그분의 비난속에 표현하고 싶은 의도를 파악하면서 노력했는데 노력이 많이 부족한건가 싶었어요. 계속 자책을 하게 되더라고요.  오늘 강의듣고 많은 깨달음을 얻은것 같아요. 이건 나 혼자만의 문제가 아니엿구나. 그래서 버티지 못한거구나. 라고 생각하기로 했어요. 감사해요, 저의 자책을 멈춰주셔서.",2,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
30,처음부터 끝까지 제게 너무 필요한 이야기였어요. 평소 제가 하던 혼잣말이 부끄러워지네요. 좋은 혼잣말을 연습해서 주변에 정상인 사람 한명이 되도록 노력해야겠어요,1,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
31,세상을 바꾸는 시간의 모토에 가장 와닿는 시간의 강의 였습니다소중한 시간 소장님 감사합니다,1,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
32,박재연 소장님의 강연을 통해 인간관계를 잘 만들어갈 수 있는 좋은 교훈을 얻을 수 있었다는 생각이 들었습니다.,1,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
33,“사실은 사랑받고 싶었어“라는 책을 통해 박재연 소장님을 알게 되었고 팬이 되었습니다. 오랜만에 오늘 유튜브에 업로드 된 소장님의 영상과 함께 퇴근중인데.. 힘들었던 마음이 영상을 보니 사르르 녹는거 같아요.말하는 태도에 관심이 많은 저는 이번 영상을 통해 세가지를 새깁니다.1. 내가 중요한 만큼 너도 중요하다. 결국 우리가 중요하다.,19,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
34,"박재연 소장님 강연들은 지난 몇년간 저를 더 건강하고 단단한 사람이 되도록 변화 시켰고, 주변 사람들과도 더 건강하고 존중하는 관계가 되는데 큰 도움이 되었어요!! 오늘 강연도 제 다이어리에 잊지 말아야 할 부분들을 적으면서 보았습니다 결국 나 자신에게 솔직하고 자신의 욕구를 알고 상대에게 구체적으로 말할 수 있을때 건강한 대화를 할 수 있고 이를 잘함으로서 건강한 자존감이 생기고 또 주변 사람들과도 관계가 좋아지는 선순환이 되는것 같아요 소장님이 전부터 알려주신 방법을 제 삶에 적용해 살다보니 예전엔 ‘상대가 왜 나한테 이런말을 할까? 왜 힘들게 할까?’하며 답없는 질문을 자신에게 하며 힘들게했다면, 지금은 ’아 이사람은 이런 환경과 상황에 있다보니 이렇게 생각할 수 있겠네. 그럼 우리 서로를 위해 어떻게 하는게 좋을까?‘로 생각이 바뀐것 같아요.. 또한 예전엔 제가 원하는걸 상대가 알아줬으면 하는 마음으로 말하다보니 짜증이나 비난이 섞였다면 현재는 제 속마음을 천천히 들여다보고 ‘나는 이런이런것들을 원하는 것 같아. 너는 어떻게 생각해?‘ 하면서 직접적으로 말하니 서로 섭섭해하거나 오해할 일이 많이 없어졌어요...",11,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
35,박재연소장님~~명쾌하고 행복해지는 대화법~감사히 잘 들었습니다...건강한 혼잣말 연습으로 나의 자존감을 높이고 내가 건강해질수있도록 노력하겠습니다 사랑합니다 ,3,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
36,"박재연소장님의 강연 잘 들었습니다!혼잣말이라는 키워드를 보고 듣기 시작했는데 인간관계에서의 소통, 그리고 대화에 대한 많은 배움을 얻은 강연이었습니다.""건강한 혼잣말""이 건강한 대화의 시작이라는 것을 다시한 번 마음에 새겨두겠습니다.",13,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
37,"대화를 잘하는법을 배워보지 못한 채로 30년까지 살게 되었네요. 저는 회사, 가족, 친구 관계에서 풀어야 할 숙제가 많습니다. 참는게 미덕이라고 늘 참고 회피 하면서 살아왔는데, 건강한 혼잣말과 잘 대화하는 법을 배워 갑니다. 조금씩 실천해 보겠습니다. 좋은강의 감사합니다. 꼭 도심에 살지 않아도 유투브를통해 만나 뵐 수 있게 해준 세바시 채널에도 감사합니다.",21,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
38,잘 들어주셔서 감사합니다~,0,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
39,요즘 세바시를 봤던 것도 다시 정주행하는데 편집 퀄리티도 좋아지고 강연하시는 분들도 너무 대단한 것 같아요 많은 사람들이 저와 같은 동기부여를 받았으면 좋겠습니다,4,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
40,"박재연 소장님을 알게 된 이후 소장님 나오시는 모든 강의, 영상을 다 봤어요. 소장님 덕분에 제 인생 정말 많이 변했습니다. 이런 명강의들을 손쉽게 들을 수 있다는 것에 얼마나 감사한지요!! 늘 건강 챙기시고 행복하세요 소장님",5,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
41,말의 중요성에 대해 매일 생각하게 되네요~~,1,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
42,세바시 항상 잘 보고 있어요 ㅎㅎ오늘 느낀점은회사 직원들과 좋은 관계를 유지하고있는것같아,1,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
43,"박재연 소장님 강의동안 정말 귀에쏙쏙 그리고,.. 제 마음과 정신에도 쏙쏙 강의말씀 하나하나가 다 새겨들어야겠다는 내용들로 가득이에요!저 자신에게 부터 혼잣말을 잘하도록 바꿔봐야겠어요~!  특히 저는 바깥생활보단... 남편과 아이에게 걸러짐 없이 말을해서 상처주고 기분상하게 합니다..ㅠㅠ 그래서 그땐  자신에게도 실망스럽고  나 왜 이럴까 싶어요.박재연 소장님 강의 듣고 나야 지금부터 바뀌자.. 다짐합니다.   말연습하기...혼잣말.. 생각의 표현을 바르게 하도록 노력하겠어요!",2,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
44,건강한 혼잣말! 깊이 와닿는 주제의 강연 집중해서 잘 들었습니다. 바깥의 짜증을 집에와서 다 풀어내고 그것도 모자라 늘 어떤걸 꼬투리 잡을까 하는 독설가 제 반려자한테도 이 강연 보내주고 싶네요저 또한 아프지않은  혼잣말 연습으로 좋은 인간관계 쌓아 보겠습니다,6,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
45,자신이 피해자라는 의식을 버리고 스스로 원하는 답이 뭔지 명확히할 것. 그러니까 일차적으로 감정을 걸러낼 줄 아는 능력을 길러라. 감정이 아니라 문제에 대한 해결을 바라는 사람이 되어라상대의 말의 의도를 파악하고 건강한 대화를 주도하는 사람일 때 훨씬 큰 이익이 돌아오고 대화에서 얻는 즐거움도 크다는 말이 깊이 와닿았습니다. 다른 사람과 감정적우로 대화하면 서로 적대적인 태도로 이야기한다는 느낌이 컸는데 상대의 의도를 알아차리고 해결을 도모해야 한다는 것에서 협력 관계를 구축하는 연습이라는 느낌을 받았네요.,1,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
46,재택근무를 하게되면서 더욱 효율적인 미팅과 지혜로운 의사소통의 중요성을 느끼고 있었는데 마침 저에게 필요한 강연해주셔서 감사합니다. 박재연 소장님 책으로 이 내용을 좀 더 자세히 알고 싶습니다!,6,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
47,매번 잫 듣고 있어욤 최고,0,17 hours ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
48,"깊은 공감을 한 강연이었습니다. 대화의 기술이 부족하다고는 생각했지만, 어떻게 말해야 할지 잘 몰랐습니다. 실례로 들어준 사례가 직장생활에서의 꿀팁이네요. 당장 바뀌지는 않겠지만, 강연을 복습해가며 실생활에서도 활용할 수 있도록 연습해보겠습니다.",7,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
49,맞는 말씀입니다.,1,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
50,이런 좋은 혼잣말을 할 줄 아는 부모의 자녀인 경우사교육 없이 홀로 알아서 가만히 공부해서 국내최고 대학에 장학생으로 가더군요,1,23 hours ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
51,"박재연 소장님~ 강연이 올라와서 기쁜 마음으로 바로 시청했어요^^ 내가 선택한 관계, 우리가 선택한 관계에 대해 건강하게 유지하려는 노력은 충분한 가치가 있다는 것에 고개가 끄덕여지네요. 그리고 건강한 혼잣말 연습, 성숙한 태도을 꾸준히 연습해서 나 스스로 가치감이 높아지는 멋있는 경험을 가질 수 있도록 노력할게요 ^^ 감사합니다",4,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
52,좋은 강연 잘 들었습니다.  실제로 도움이 되는지 빨리 적용해 보고 싶네요.  책도 꼭 읽어 보고 싶습니다.,1,1 day ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
53,말을 잘 하려면 잘 들어야 한다는 말을 많은 사람들이 잘못이해하고 있을수 있겠네요 지는게 아니라 상대의 말을 잘 해석하라는 말씀이 정말 와닿습닏다 박재연 소장님강연은  시간이 흐를수록 요점이 또렷하고 더 현실적인 요소로 귀에 꽂힙니다 발음도 중요한것 같습니다 ,17,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
54,박재연 소장님 너무 좋은 얘기 감사합니다.  건강한 혼잣말~깊은 생각을 하는  강연이네요~좋은 강연 감사합니다.,7,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
55,박재연소장님 너무 좋은 얘기 감사합니다. 점점 더 통찰이 깊어지시는 것 같아요. 언제 꼭 강연 직접 가서 듣고 싶네요.,16,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
56,세바시 강연은 라이브로 볼 때 제일입니다! 꼭 강연장에 오세요~,2,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
57,"저도 박재연소장님이 더 발전하신다는 생각이 들었습니다. 지난번 번역기 이야기 하신 게 도움이 많이 되었는데, 혼잣말도 관계에 도움이 될 것 같아요~",0,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
58,"믿고보는 박재연 소장님 강의입니다.우리가 살아감에 있어 타인과의 의사소통은 필수불가결입니다. 사람들과의 대화를 잘 하기위해 수많은 책들을 통해 지식을 쌓거나 많은 사람들과의 관계를 경험해보아도 해결되지 않는 알 수없는 ""그 무언가""가 있는데 박소장님의 강의는 탁탁 그것을 깨우치게 도움을줍니다.",2,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
59,넘 좋은 강의 감사합니다 ,4,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
60,저도 감사드립니다,0,2 days ago,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회
